DELTA_FT7,DELTA_FT8,DELTA_T7,DELTA_T8,DELTA_TP7,DELTA_TP8,DELTA_CP1,DELTA_CP2,DELTA_P1,DELTA_PZ,DELTA_P2,DELTA_PO3,DELTA_POZ,DELTA_PO4,DELTA_O1,DELTA_OZ,DELTA_O2,TETHA_FT7,TETHA_FT8,TETHA_T7,TETHA_T8,TETHA_TP7,TETHA_TP8,TETHA_CP1,TETHA_CP2,TETHA_P1,TETHA_PZ,TETHA_P2,TETHA_PO3,TETHA_POZ,TETHA_PO4,TETHA_O1,TETHA_OZ,TETHA_O2,ALPHA_FT7,ALPHA_FT8,ALPHA_T7,ALPHA_T8,ALPHA_TP7,ALPHA_TP8,ALPHA_CP1,ALPHA_CP2,ALPHA_P1,ALPHA_PZ,ALPHA_P2,ALPHA_PO3,ALPHA_POZ,ALPHA_PO4,ALPHA_O1,ALPHA_OZ,ALPHA_O2,BETA_FT7,BETA_FT8,BETA_T7,BETA_T8,BETA_TP7,BETA_TP8,BETA_CP1,BETA_CP2,BETA_P1,BETA_PZ,BETA_P2,BETA_PO3,BETA_POZ,BETA_PO4,BETA_O1,BETA_OZ,BETA_O2,GAMMA_FT7,GAMMA_FT8,GAMMA_T7,GAMMA_T8,GAMMA_TP7,GAMMA_TP8,GAMMA_CP1,GAMMA_CP2,GAMMA_P1,GAMMA_PZ,GAMMA_P2,GAMMA_PO3,GAMMA_POZ,GAMMA_PO4,GAMMA_O1,GAMMA_OZ,GAMMA_O2,percol,label
8.50E+05,6.08E+05,6.20E+05,7.48E+05,4.69E+05,5.28E+06,72226,53371,2.27E+05,1.65E+05,2.06E+05,2.37E+05,1.67E+05,2.07E+05,2.41E+05,5.96E+05,5.34E+05,1.43E+05,1.39E+05,1.30E+05,1.32E+05,1.29E+05,3.14E+05,24752,16944,71868,47902,58406,74626,48089,58947,75008,1.41E+05,1.44E+05,68040,52102,54825,61271,55906,1.13E+05,10140,10368,41211,23462,40794,42669,23598,41726,43321,78952,1.04E+05,1.01E+05,37519,95677,19810,27647,28511,5979.3,4095,22121,9771.1,14202,23207,9901.9,14174,23666,34856,61063,1.11E+05,36463,1.10E+05,8476.2,12833,13738,2941.8,1963.7,16510,4105.6,8439.9,18050,4260,8650.5,18625,24716,75096,0.11923,0
8.50E+05,6.08E+05,6.20E+05,7.48E+05,4.69E+05,5.28E+06,72262,53363,2.27E+05,1.65E+05,2.06E+05,2.37E+05,1.67E+05,2.07E+05,2.41E+05,5.97E+05,5.34E+05,1.43E+05,1.39E+05,1.30E+05,1.32E+05,1.29E+05,3.14E+05,24755,16942,71860,47902,58399,74618,48088,58941,75002,1.41E+05,1.44E+05,68020,52097,54800,61267,55887,1.14E+05,10141,10367,41225,23468,40800,42682,23605,41732,43335,78950,1.04E+05,1.01E+05,37517,95630,19808,27641,28513,5979.5,4096.4,22122,9771.1,14206,23209,9902.2,14178,23668,34858,61063,1.11E+05,36465,1.10E+05,8476.9,12832,13740,2942.2,1963.6,16517,4106.1,8438.9,18058,4260.4,8649.6,18633,24719,75080,0.14909,0
8.50E+05,6.08E+05,6.20E+05,7.47E+05,4.69E+05,5.28E+06,72323,53348,2.27E+05,1.65E+05,2.06E+05,2.37E+05,1.67E+05,2.07E+05,2.41E+05,5.97E+05,5.34E+05,1.43E+05,1.39E+05,1.30E+05,1.32E+05,1.30E+05,3.14E+05,24762,16931,71850,47899,58364,74608,48085,58909,74993,1.41E+05,1.44E+05,67991,52080,54761,61261,55864,1.14E+05,10142,10370,41253,23475,40824,42712,23613,41754,43365,78973,1.04E+05,1.01E+05,37518,95583,19805,27631,28517,5979.6,4097.4,22127,9772.2,14210,23214,9903.3,14182,23673,34862,61067,1.11E+05,36468,1.10E+05,8477.2,12828,13743,2942.6,1963.5,16528,4107,8439.2,18070,4261.4,8650,18646,24729,75083,0.17756,0
8.49E+05,6.08E+05,6.19E+05,7.47E+05,4.69E+05,5.28E+06,72309,53360,2.27E+05,1.65E+05,2.06E+05,2.37E+05,1.67E+05,2.07E+05,2.41E+05,5.97E+05,5.34E+05,1.43E+05,1.39E+05,1.30E+05,1.32E+05,1.30E+05,3.14E+05,24757,16922,71835,47904,58324,74593,48091,58870,74980,1.40E+05,1.44E+05,67949,52068,54719,61263,55848,1.14E+05,10142,10373,41285,23486,40845,42746,23625,41776,43401,79007,1.04E+05,1.01E+05,37519,95550,19799,27622,28524,5980.7,4097.3,22135,9771.9,14208,23223,9902.6,14181,23682,34866,61078,1.11E+05,36467,1.10E+05,8476.7,12824,13746,2943.6,1963.4,16543,4108.2,8439.9,18086,4262.8,8650.3,18662,24738,75088,0.19452,0
8.48E+05,6.09E+05,6.19E+05,7.47E+05,4.68E+05,5.29E+06,72317,53372,2.28E+05,1.65E+05,2.06E+05,2.37E+05,1.67E+05,2.07E+05,2.41E+05,5.98E+05,5.35E+05,1.43E+05,1.39E+05,1.30E+05,1.32E+05,1.30E+05,3.15E+05,24758,16920,71843,47914,58302,74603,48102,58850,74990,1.41E+05,1.44E+05,67924,52071,54693,61280,55847,1.14E+05,10146,10375,41330,23497,40873,42794,23637,41804,43451,79060,1.04E+05,1.01E+05,37526,95530,19797,27618,28541,5981.7,4096.9,22146,9772.7,14209,23235,9903.2,14183,23695,34877,61099,1.11E+05,36469,1.10E+05,8477.7,12823,13750,2944.9,1963.4,16563,4109.2,8440.7,18109,4263.9,8650.5,18685,24749,75087,0.22029,0
8.47E+05,6.09E+05,6.18E+05,7.47E+05,4.68E+05,5.28E+06,72318,53375,2.28E+05,1.65E+05,2.06E+05,2.37E+05,1.67E+05,2.07E+05,2.41E+05,5.98E+05,5.35E+05,1.43E+05,1.39E+05,1.30E+05,1.32E+05,1.30E+05,3.15E+05,24761,16919,71839,47920,58278,74600,48110,58828,74985,1.40E+05,1.44E+05,67905,52077,54686,61298,55855,1.14E+05,10150,10380,41370,23510,40916,42837,23649,41848,43495,79114,1.04E+05,1.01E+05,37535,95516,19797,27615,28554,5982,4096.7,22159,9772.9,14210,23250,9903.5,14184,23710,34888,61113,1.11E+05,36468,1.10E+05,8479.1,12823,13752,2945.6,1963.2,16581,4109.5,8439.9,18129,4264.5,8649.4,18705,24756,75074,0.2505,0
8.47E+05,6.09E+05,6.18E+05,7.47E+05,4.68E+05,5.28E+06,72331,53401,2.28E+05,1.65E+05,2.06E+05,2.37E+05,1.67E+05,2.07E+05,2.41E+05,5.98E+05,5.35E+05,1.43E+05,1.39E+05,1.30E+05,1.32E+05,1.30E+05,3.15E+05,24763,16915,71839,47920,58257,74601,48110,58808,74985,1.40E+05,1.44E+05,67889,52077,54674,61284,55852,1.14E+05,10153,10378,41388,23507,40903,42857,23646,41835,43515,79125,1.04E+05,1.01E+05,37546,95510,19797,27612,28567,5981.7,4096.4,22176,9772.5,14209,23269,9903.1,14183,23730,34903,61121,1.11E+05,36471,1.10E+05,8481.3,12825,13755,2946.2,1963.2,16603,4110.2,8440.2,18154,4265.4,8649.5,18731,24768,75072,0.2776,0
2.01E+06,1.59E+06,9.12E+05,7.39E+05,4.93E+05,5.49E+06,1.16E+05,77657,4.17E+05,2.94E+05,3.87E+05,4.35E+05,2.99E+05,3.91E+05,4.41E+05,1.02E+06,8.42E+05,2.14E+05,1.60E+05,1.65E+05,1.46E+05,1.23E+05,3.84E+05,20494,19194,72587,53460,62841,76024,53531,63574,77097,1.67E+05,1.60E+05,1.10E+05,82443,79999,64253,62384,97655,11141,10845,45617,25975,44639,48007,26336,45215,49100,82771,95714,1.61E+05,78440,93572,31918,32895,36657,7406.5,5491.1,28056,12746,17856,29400,12812,17889,30215,40652,69941,2.17E+05,62818,1.29E+05,16879,15309,20041,3877.7,2360.6,22031,5522.3,9816.5,24199,5601.7,9897,25039,28791,76122,0.30463,0
2.01E+06,1.59E+06,9.13E+05,7.39E+05,4.93E+05,5.48E+06,1.16E+05,77649,4.17E+05,2.94E+05,3.87E+05,4.35E+05,2.99E+05,3.91E+05,4.41E+05,1.02E+06,8.43E+05,2.14E+05,1.60E+05,1.65E+05,1.46E+05,1.23E+05,3.83E+05,20498,19188,72590,53477,62835,76027,53547,63567,77099,1.67E+05,1.60E+05,1.10E+05,82478,80015,64265,62385,97603,11142,10847,45614,25979,44640,48002,26341,45216,49094,82772,95711,1.61E+05,78477,93568,31928,32899,36657,7406.1,5491.2,28046,12745,17852,29390,12811,17885,30203,40641,69894,2.17E+05,62834,1.29E+05,16885,15312,20039,3876.7,2360,22017,5521.4,9812.1,24184,5600.7,9892.8,25023,28771,76072,0.32572,0
2.01E+06,1.59E+06,9.13E+05,7.39E+05,4.93E+05,5.47E+06,1.16E+05,77557,4.17E+05,2.93E+05,3.86E+05,4.35E+05,2.99E+05,3.90E+05,4.41E+05,1.02E+06,8.42E+05,2.14E+05,1.60E+05,1.65E+05,1.46E+05,1.23E+05,3.83E+05,20493,19173,72545,53459,62790,75975,53529,63520,77046,1.67E+05,1.60E+05,1.11E+05,82531,80051,64267,62371,97516,11138,10850,45579,25969,44633,47965,26332,45209,49055,82736,95679,1.61E+05,78567,93604,31949,32906,36657,7407,5491.8,28034,12743,17848,29376,12809,17881,30188,40622,69839,2.17E+05,62894,1.29E+05,16901,15318,20040,3877.1,2359.9,22003,5521.6,9808.4,24169,5600.5,9889.3,25007,28754,76028,0.3342,0
