DELTA_FT7,DELTA_FT8,DELTA_T7,DELTA_T8,DELTA_TP7,DELTA_TP8,DELTA_CP1,DELTA_CP2,DELTA_P1,DELTA_PZ,DELTA_P2,DELTA_PO3,DELTA_POZ,DELTA_PO4,DELTA_O1,DELTA_OZ,DELTA_O2,TETHA_FT7,TETHA_FT8,TETHA_T7,TETHA_T8,TETHA_TP7,TETHA_TP8,TETHA_CP1,TETHA_CP2,TETHA_P1,TETHA_PZ,TETHA_P2,TETHA_PO3,TETHA_POZ,TETHA_PO4,TETHA_O1,TETHA_OZ,TETHA_O2,ALPHA_FT7, ALPHA_FT8,ALPHA_T7,ALPHA_T8,ALPHA_TP7,ALPHA_TP8,ALPHA_CP1,ALPHA_CP2,ALPHA_P1,ALPHA_PZ,ALPHA_P2,ALPHA_PO3,ALPHA_POZ,ALPHA_PO4,ALPHA_O1,ALPHA_OZ,ALPHA_O2,BETA_FT7, BETA_FT8,BETA_T7,BETA_T8,BETA_TP7,BETA_TP8,BETA_CP1,BETA_CP2,BETA_P1,BETA_PZ,BETA_P2,BETA_PO3,BETA_POZ,BETA_PO4,BETA_O1,BETA_OZ,BETA_O2,GAMMA_FT7, GAMMA_FT8,GAMMA_T7,GAMMA_T8,GAMMA_TP7,GAMMA_TP8,GAMMA_CP1,GAMMA_CP2,GAMMA_P1,GAMMA_PZ,GAMMA_P2,GAMMA_PO3,GAMMA_POZ,GAMMA_PO4,GAMMA_O1,GAMMA_OZ,GAMMA_O2,percol,label
1019600,607630,746890,600880,607260,589280,2748,355890,337620,484050,355070,594030,484380,772260,614000,483380,774420,268000,142090,240790,141420,197690,141000,461.48,51750,64444,82760,54705,140820,84017,153300,143250,84133,155140,145030,111040,165950,110450,131020,110310,367.59,43096,71870,67738,44883,132120,68918,125940,135060,68571,126830,81430,35521,158380,34831,64257,33882,230.93,11762,17611,33277,12328,74714,33832,74261,77659,33886,74481,57564,17440,155790,16942,60430,15464,176.09,2525.6,5715.9,23855,2645.3,62352,24261,56416,65604,24204,56459,0.14307,0
1018500,606500,746410,599800,607330,588250,2749.9,356080,337740,484210,355250,594330,484540,772390,614320,483530,774550,267950,142040,240820,141360,197750,140940,461.56,51729,64442,82740,54684,140850,83997,153300,143290,84114,155140,145030,111010,165980,110410,131010,110280,367.57,43085,71836,67739,44872,132100,68920,125900,135040,68572,126800,81456,35522,158370,34833,64253,33884,230.94,11763,17612,33288,12329,74707,33843,74259,77652,33896,74479,57594,17441,155780,16942,60432,15465,176.08,2526.6,5716.5,23867,2646.3,62349,24273,56440,65601,24216,56483,0.13013,0
1017500,605680,745860,599030,607570,587520,2753.8,356490,338060,484650,355650,594990,484980,772980,615000,483960,775140,267870,141980,240780,141300,197780,140880,461.75,51702,64459,82746,54656,140940,84006,153320,143380,84121,155170,145020,110990,165990,110400,131010,110270,367.58,43082,71825,67768,44870,132130,68949,125940,135070,68601,126830,81528,35533,158400,34844,64263,33894,230.98,11766,17617,33314,12332,74728,33869,74303,77673,33923,74522,57662,17445,155810,16947,60440,15471,176.09,2529.1,5720.3,23899,2648.8,62386,24305,56512,65640,24248,56554,0.13671,0
1017000,605150,745630,598520,608020,587040,2759.3,357100,338610,485370,356240,596000,485700,773970,616060,484670,776140,267850,141960,240790,141270,197840,140850,462.01,51672,64488,82783,54625,141080,84045,153400,143530,84159,155250,145020,110990,165960,110390,131000,110260,367.46,43073,71831,67806,44860,132200,68988,126000,135140,68639,126890,81634,35549,158430,34861,64275,33911,230.93,11771,17630,33365,12338,74798,33920,74397,77746,33975,74615,57765,17454,155860,16956,60449,15481,176.08,2532.9,5727.8,23949,2652.7,62466,24357,56628,65725,24300,56669,0.1369,0
1015900,604950,744980,598360,608400,586900,2758.1,357700,339060,486190,356830,597200,486520,775280,617330,485490,777460,267900,141890,240830,141210,197900,140790,462.04,51646,64516,82820,54596,141190,84083,153470,143630,84196,155330,145040,111010,165930,110410,130990,110290,367.33,43070,71855,67824,44856,132240,69007,126000,135180,68657,126900,81595,35549,158340,34864,64265,33914,230.87,11778,17639,33409,12345,74856,33966,74476,77805,34020,74694,57689,17440,155760,16943,60412,15469,176.06,2534,5735.1,23993,2653.9,62541,24401,56709,65804,24344,56750,0.12846,0
1015400,604900,744590,598320,608700,586890,2758.4,358570,339660,487200,357690,598370,487530,776730,618560,486490,778910,268000,141870,240890,141180,197970,140760,462.13,51640,64542,82840,54592,141280,84104,153540,143730,84218,155400,145080,111020,165930,110430,131020,110300,367.25,43060,71866,67857,44845,132310,69041,126040,135260,68690,126940,81583,35546,158280,34863,64263,33913,230.81,11788,17651,33472,12356,74938,34028,74591,77890,34083,74808,57653,17435,155710,16939,60383,15467,176.05,2536.3,5744.8,24055,2656.4,62650,24463,56831,65918,24406,56871,0.122,0
1015400,605080,744380,598510,609040,587080,2760.1,359660,340440,488360,358770,599680,488680,778220,619940,487630,780400,268010,141860,240890,141180,198040,140760,462.13,51656,64593,82897,54610,141430,84161,153670,143890,84275,155540,145170,111040,166000,110450,131080,110320,367.22,43055,71916,67908,44841,132460,69095,126100,135410,68741,126990,81614,35552,158290,34870,64268,33921,230.78,11800,17668,33551,12368,75063,34108,74746,78018,34163,74962,57662,17442,155720,16946,60366,15474,176.03,2539.9,5757.7,24135,2660.3,62806,24545,56996,66083,24488,57034,0.11652,0
1231400,757670,930960,760310,613060,739970,2435.8,117730,162610,216310,120590,329690,218860,492750,335180,217870,497160,287610,180050,259270,181180,190400,180490,502.03,37853,45680,70538,39797,123640,71397,146810,126490,72577,147180,164700,116980,188140,117820,126650,117180,354.98,28958,55289,46076,30456,92986,46323,97796,93923,46831,98260,34652,26744,92393,26895,36374,26704,229.29,8104.1,12039,14711,8556.9,33064,14816,34362,33998,15083,34566,13317,6835.2,84113,6843.4,19678,6314.3,172.59,1224.8,2714.5,5626.4,1279.2,20622,5660,15518,21483,5686.6,15691,0.11073,0
1232000,757760,931240,760390,613100,740050,2437.4,117710,162440,216140,120570,329500,218680,492480,335000,217700,496880,287570,180040,259240,181170,190380,180490,501.99,37848,45671,70523,39792,123630,71383,146780,126480,72563,147160,164630,116980,188100,117820,126590,117190,354.96,28939,55284,46072,30436,92971,46318,97777,93904,46826,98239,34647,26735,92358,26886,36351,26696,229.33,8103.6,12040,14709,8556.3,33047,14814,34355,33981,15081,34560,13312,6832.1,84078,6840.2,19643,6311.7,172.57,1224.9,2713.6,5625.8,1279.3,20610,5659.5,15520,21471,5686,15693,0.10934,0
1233300,758090,931970,760710,613320,740350,2439.8,117720,162250,216010,120580,329360,218550,492320,334850,217580,496730,287620,180070,259280,181200,190400,180510,501.85,37853,45663,70523,39797,123650,71385,146780,126510,72565,147160,164620,117020,188130,117870,126550,117230,354.92,28936,55295,46084,30433,92976,46331,97794,93905,46840,98254,34643,26733,92304,26885,36318,26696,229.36,8107.2,12044,14713,8559.9,33043,14818,34361,33977,15085,34566,13301,6827.3,84030,6835.5,19575,6308.3,172.55,1225.1,2712.9,5625.3,1279.5,20604,5659.5,15522,21465,5685.8,15695,0.10801,0
