Delta_AF3,Delta_AF4,Delta_F3,Delta_F7,Delta_F8,Delta_FC5,Delta_O2,Delta_P8,Delta_T8,Alpha_AF3,Alpha_AF4,Alpha_F3,Alpha_F7,Alpha_F8,Alpha_FC5,Alpha_O2,Alpha_P8,Alpha_T8,Beta_AF3,Beta_AF4,Beta_F3,Beta_F7,Beta_F8,Beta_FC5,Beta_O2,Beta_P8,Beta_T8,Gamma_AF3,Gamma_AF4,Gamma_F3,Gamma_F7,Gamma_F8,Gamma_FC5,Gamma_O2,Gamma_P8,Gamma_T8,Suj,Tarea_R0_E1,Tarea_R0_E1
11.534035,12.121956,11.952151,15.444562,8.015802,15.119381,15.119381,12.425375,12.22327,11.344155,10.654116,11.028983,9.747626,11.486165,10.686169,11.56305,11.462397,11.650168,21.174444,22.363454,21.768623,21.911691,24.685368,22.210347,22.210347,22.733037,22.676874,15.241399,15.30398,15.122507,15.189208,15.063298,17.074714,17.074714,15.4587,15.393951,1,0,2
11.52514,12.120781,11.903644,15.803703,8.039657,15.306587,15.306587,12.372578,12.16944,11.359696,10.703929,11.031079,9.75248,11.487037,10.717729,11.56706,11.529974,11.745474,21.154018,22.40266,21.739753,21.873894,24.68107,22.162575,22.162575,22.773383,22.720013,15.24201,15.301815,15.124971,15.19369,15.06386,15.189642,15.189642,18.063186,15.390752,1,0,2
11.514817,12.11793,11.817511,15.765742,8.071404,15.517914,15.517914,12.317167,12.112894,11.375629,10.814413,11.034473,9.757428,11.489263,10.757506,11.572784,11.597941,11.849558,21.13356,22.444184,21.710805,21.836741,24.677199,22.115872,22.115872,22.815576,22.765318,15.242632,15.29966,15.127445,15.198059,15.064346,15.195617,15.195617,15.452785,15.387524,1,0,2
11.503097,12.11297,11.69352,15.281094,8.112992,15.351537,15.351537,12.259054,12.053521,11.392258,10.940747,11.039458,9.762818,11.492992,10.807116,11.580433,11.665676,11.963252,21.113056,22.488295,21.68178,21.800207,24.673743,22.070177,22.070177,22.85974,22.812971,15.243273,15.297515,15.129931,15.202322,15.064757,15.201409,15.201409,15.449808,15.38427,1,0,2
11.490032,12.109405,11.658559,15.010494,8.165102,15.070492,15.070492,12.29819,11.991195,11.409843,11.062117,11.046352,9.769028,11.498399,10.865602,11.590248,11.732685,12.087277,21.092494,22.535339,21.652682,21.764291,24.670687,22.025449,22.025449,22.906031,22.863203,15.243941,15.295382,15.132431,15.206481,18.076651,15.207026,15.207026,15.446819,15.380988,1,0,2
11.47569,12.112899,11.620677,14.817331,8.221994,14.851048,14.851048,12.406129,11.925764,11.428549,11.176975,11.055551,9.776446,11.505719,10.930433,11.602508,11.798458,12.222541,21.071861,22.585777,21.623508,21.728966,24.668014,21.981631,21.981631,22.954648,22.916311,15.244645,21.321114,15.134948,15.210541,15.065359,15.212483,15.212483,15.443818,15.377678,1,0,2
11.460168,12.126461,11.579832,14.680568,8.258303,14.681185,14.681185,12.508604,11.857053,11.448477,11.286779,11.067443,9.785431,11.515227,10.998705,11.617499,11.862348,12.370502,21.051142,22.640213,21.594256,21.694214,24.665699,21.938676,21.938676,23.005825,22.972663,15.245394,19.715064,15.137484,15.214508,15.065558,15.217789,15.217789,15.519137,15.374336,1,0,2
11.443634,12.150686,11.536205,14.605082,8.228609,14.556842,14.556842,12.606648,12.14298,11.469657,11.391892,11.082394,9.79627,11.52725,11.067414,11.635493,11.923634,12.533443,21.030327,22.699431,21.564936,21.660043,24.66372,21.896566,21.896566,23.059814,23.032694,15.246192,15.289037,15.140038,15.218378,15.065692,15.222946,15.222946,15.437768,16.325851,1,0,2
11.426297,12.187706,11.490495,14.647614,8.127849,14.488141,14.488141,12.702072,11.899368,11.492222,11.490215,11.100885,9.8093,11.542529,11.133464,11.657074,11.981582,12.715015,21.009408,22.764494,21.535546,21.626427,24.662051,21.855254,21.855254,23.116875,23.096918,15.247049,15.286934,15.142609,15.222155,15.065769,15.227964,15.227964,15.434717,15.367546,1,0,2
11.408431,12.229027,11.444481,14.734412,7.986086,14.440852,14.440852,12.795819,11.857508,11.516448,11.576004,11.123815,9.825185,11.562684,11.193727,11.683539,12.035535,12.920979,20.988377,22.83689,21.506084,21.593342,24.660672,21.814697,21.814697,23.17726,23.165938,15.247973,15.284835,15.145198,15.225839,15.065792,15.232848,15.232848,19.208035,15.364094,1,0,2
